IntermediateZone2011Code,IntermediateZone2011Name
S02001741,Valleyfield Culross and Torryburn
S02001742,Cairneyhill and Crombie
S02001743,Crossford Charlestown and Limekilns
S02001744,Dunfermline Milesmark and Wellwood
S02001745,Dunfermline Baldridgeburn
S02001746,Dunfermline Headwell
S02001747,Dunfermline Central
S02001748,Dunfermline Brucefield
S02001749,Dunfermline Garvock Hill
S02001750,Dunfermline Bellyeoman and Townhill
S02001751,Dunfermline Duloch North and Lynebank
S02001752,Dunfermline Touch and Woodmill
S02001753,Dunfermline Abbeyview North
S02001754,Dunfermline Abbeyview South
S02001755,Dunfermline Duloch South
S02001756,Dunfermline Masterton
S02001757,Dunfermline Pitcorthie East
S02001758,Dunfermline Pitcorthie West
S02001759,Rosyth North
S02001760,Rosyth East
S02001761,Rosyth Central
S02001762,Rosyth South
S02001763,North Queensferry and Inverkeithing West
S02001764,Inverkeithing East
S02001765,Dalgety Bay West and Hillend
S02001766,Dalgety Bay Central
S02001767,Dalgety Bay East
S02001768,Crossgates and Halbeath
S02001769,Hill of Beath and Kingseat
S02001770,Cowdenbeath South
S02001771,Cowdenbeath North
S02001772,Kelty West
S02001773,Kelty East
S02001774,Lochore and Crosshill
S02001775,Ballingry
S02001776,Cardenden
S02001777,Lochgelly East
S02001778,Lochgelly West and Lumphinnans
S02001779,Aberdour and Auchtertool
S02001780,Burntisland West
S02001781,Burntisland East
S02001782,Kinghorn
S02001783,Kirkcaldy Linktown & Seafield
S02001784,Kirkcaldy Central
S02001785,Kirkcaldy Bennochy East
S02001786,Kirkcaldy Bennochy West
S02001787,Kirkcaldy Raith
S02001788,Kirkcaldy Newliston and Redcraigs
S02001789,Kirkcaldy Templehall West
S02001790,Kirkcaldy Templehall East
S02001791,Kirkcaldy Dunnikier
S02001792,Kirkcaldy Chapel
S02001793,Kirkcaldy Hayfield and Smeaton
S02001794,Kirkcaldy Pathhead
S02001795,Kirkcaldy Gallatown and Sinclairtown
S02001796,Dysart
S02001797,Wemyss
S02001798,Thornton and Kinglassie
S02001799,Leslie and Newcastle
S02001800,Glenrothes Macedonia and Tanshall
S02001801,Glenrothes South Parks
