WARD,WARDn,PFN,PFNn,LAD,LADn
S13002761,Tweeddale West,S32000012_003,Scottish Borders,S12000026,Scottish Borders
S13002828,Armadale and Blackridge,S32000012_004,West Lothian,S12000040,West Lothian
S13002827,Bathgate,S32000012_004,West Lothian,S12000040,West Lothian
S13002821,"Broxburn, Uphall and Winchburgh",S32000012_004,West Lothian,S12000040,West Lothian
S13002824,East Livingston and East Calder,S32000012_004,West Lothian,S12000040,West Lothian
S13002825,Fauldhouse and the Breich Valley,S32000012_004,West Lothian,S12000040,West Lothian
S13002820,Linlithgow,S32000012_004,West Lothian,S12000040,West Lothian
S13002822,Livingston North,S32000012_004,West Lothian,S12000040,West Lothian
S13002823,Livingston South,S32000012_004,West Lothian,S12000040,West Lothian
S13002826,Whitburn and Blackburn,S32000012_004,West Lothian,S12000040,West Lothian
S13003013,Inverclyde Central,S32000013_001,Inverclyde,S12000018,Inverclyde
S13003011,Inverclyde East,S32000013_001,Inverclyde,S12000018,Inverclyde
S13003012,Inverclyde East Central,S32000013_001,Inverclyde,S12000018,Inverclyde
S13003014,Inverclyde North,S32000013_001,Inverclyde,S12000018,Inverclyde
S13003017,Inverclyde South,S32000013_001,Inverclyde,S12000018,Inverclyde
S13003016,Inverclyde South West,S32000013_001,Inverclyde,S12000018,Inverclyde
S13003015,Inverclyde West,S32000013_001,Inverclyde,S12000018,Inverclyde
S13003079,Paisley East and Central,S32000013_002,Paisley,S12000038,Renfrewshire
S13003077,Paisley Northeast and Ralston,S32000013_002,Paisley,S12000038,Renfrewshire
S13003078,Paisley Northwest,S32000013_002,Paisley,S12000038,Renfrewshire
S13003080,Paisley Southeast,S32000013_002,Paisley,S12000038,Renfrewshire
S13003081,Paisley Southwest,S32000013_002,Paisley,S12000038,Renfrewshire
S13003085,"Bishopton, Bridge of Weir and Langbank",S32000013_003,Renfrew,S12000038,Renfrewshire
S13003086,Erskine and Inchinnan,S32000013_003,Renfrew,S12000038,Renfrewshire
S13003084,"Houston, Crosslee and Linwood",S32000013_003,Renfrew,S12000038,Renfrewshire
S13003083,"Johnstone North, Kilbarchan, Howwood and Lochwinnoch",S32000013_003,Renfrew,S12000038,Renfrewshire
